iter	Passed	Remaining
0	162	162825
1	163	81830
2	164	54794
3	165	41265
4	166	33149
5	167	27735
6	169	24070
7	171	21205
8	173	19137
9	174	17322
10	176	15839
11	177	14625
12	179	13610
13	180	12704
14	181	11915
15	193	11917
16	195	11282
17	196	10720
18	197	10202
19	198	9747
20	207	9658
21	208	9267
22	209	8904
23	211	8618
24	213	8313
25	215	8079
26	216	7814
27	217	7567
28	219	7344
29	220	7128
30	222	6941
31	223	6748
32	223	6562
33	224	6387
34	225	6221
35	226	6065
36	228	5949
37	229	5817
38	230	5691
39	231	5566
40	232	5445
41	233	5329
42	234	5219
43	235	5114
44	236	5012
45	237	4932
46	239	4848
47	240	4761
48	242	4700
49	243	4624
50	244	4552
51	245	4476
52	246	4402
53	247	4331
54	248	4262
55	248	4196
56	249	4132
57	251	4084
58	252	4031
59	253	3974
60	255	3933
61	256	3884
62	257	3836
63	259	3788
64	259	3738
65	260	3689
66	261	3642
67	262	3596
68	263	3554
69	264	3510
70	265	3468
71	266	3431
72	267	3392
73	267	3353
74	269	3319
75	270	3286
76	271	3254
77	272	3220
78	273	3186
79	274	3152
80	277	3153
81	278	3122
82	279	3086
83	281	3071
84	282	3044
85	284	3018
86	285	2991
87	285	2962
88	286	2935
89	287	2907
90	289	2888
91	290	2863
92	291	2838
93	291	2813
94	292	2788
95	293	2764
96	300	2798
97	302	2780
98	303	2760
99	304	2737
100	306	2726
101	307	2707
102	308	2688
103	309	2669
104	310	2648
105	311	2628
106	312	2609
107	313	2590
108	314	2571
109	315	2552
110	316	2533
111	317	2514
112	317	2496
113	319	2481
114	320	2465
115	321	2450
116	322	2432
117	323	2415
118	323	2398
119	325	2389
120	327	2376
121	327	2359
122	328	2344
123	329	2328
124	330	2313
125	335	2328
126	336	2312
127	337	2297
128	338	2282
129	339	2270
130	340	2259
131	341	2248
132	342	2234
133	343	2220
134	344	2207
135	346	2202
136	347	2191
137	349	2180
138	350	2168
139	350	2155
140	351	2142
141	352	2128
142	353	2118
143	355	2115
144	357	2105
145	358	2096
146	359	2084
147	360	2073
148	361	2062
149	362	2051
150	405	2278
151	406	2267
152	407	2255
153	408	2244
154	412	2248
155	419	2272
156	421	2260
157	422	2249
158	423	2238
159	424	2227
160	425	2214
161	426	2204
162	427	2194
163	428	2183
164	429	2173
165	433	2176
166	434	2166
167	435	2156
168	436	2146
169	437	2136
170	438	2126
171	439	2116
172	462	2209
173	467	2217
174	468	2207
175	469	2197
176	470	2189
177	471	2179
178	472	2169
179	474	2159
180	475	2149
181	476	2140
182	477	2130
183	478	2121
184	479	2112
185	480	2102
186	481	2093
187	482	2084
188	484	2080
189	486	2072
190	488	2068
191	489	2060
192	490	2051
193	491	2043
194	493	2035
195	507	2082
196	508	2073
197	509	2064
198	510	2056
199	511	2047
200	522	2077
201	538	2129
202	540	2120
203	541	2114
204	543	2106
205	544	2099
206	551	2112
207	552	2104
208	553	2095
209	554	2086
210	555	2078
211	556	2069
212	557	2061
213	559	2053
214	560	2045
215	561	2036
216	562	2028
217	563	2020
218	564	2012
219	565	2004
220	573	2022
221	574	2014
222	575	2006
223	576	1998
224	578	1991
225	579	1983
226	580	1975
227	588	1991
228	589	1984
229	590	1976
230	591	1968
231	592	1961
232	593	1953
233	594	1946
234	601	1958
235	602	1950
236	603	1943
237	606	1942
238	607	1935
239	633	2006
240	634	1998
241	635	1991
242	636	1983
243	637	1976
244	638	1969
245	640	1962
246	641	1954
247	641	1946
248	642	1939
249	644	1934
250	646	1928
251	647	1921
252	648	1914
253	649	1908
254	650	1901
255	651	1893
256	652	1886
257	653	1878
258	654	1871
259	654	1864
260	655	1856
261	658	1853
262	660	1850
263	661	1844
264	662	1838
265	663	1831
266	664	1825
267	665	1818
268	666	1811
269	667	1804
270	668	1797
271	668	1790
272	669	1783
273	671	1778
274	673	1775
275	674	1770
276	676	1764
277	677	1758
278	678	1752
279	678	1745
280	679	1739
281	680	1732
282	681	1726
283	682	1720
284	683	1713
285	684	1708
286	685	1703
287	686	1697
288	687	1690
289	688	1684
290	689	1678
291	689	1672
292	704	1700
293	705	1694
294	707	1689
295	712	1695
296	714	1690
297	715	1684
298	715	1678
299	716	1672
300	717	1666
301	718	1660
302	719	1654
303	720	1648
304	723	1649
305	724	1644
306	726	1639
307	727	1634
308	728	1628
309	729	1622
310	729	1616
311	730	1611
312	731	1605
313	732	1599
314	733	1594
315	734	1588
316	741	1598
317	743	1593
318	744	1588
319	745	1584
320	746	1579
321	747	1574
322	755	1583
323	756	1578
324	757	1573
325	758	1568
326	760	1564
327	761	1559
328	766	1562
329	767	1557
330	768	1553
331	778	1566
332	779	1561
333	780	1556
334	781	1552
335	796	1573
336	802	1578
337	803	1574
338	804	1569
339	806	1565
340	808	1561
341	809	1557
342	810	1552
343	820	1564
344	821	1560
345	822	1555
346	823	1550
347	824	1545
348	825	1540
349	835	1551
